Rank,Player,Team,Position Rank,Position,Fantasy Positions,ADP,Age,Notes,,,,,,,,#REF!
301,Will Harris,WAS,S060,DB,DB,999,,,,,,,,,,
302,Theo Jackson,MIN,S061,DB,DB,999,,,,,,,,,,
303,TY Okada,SEA,S062,DB,DB,999,,,,,,,,,,
304,Julian Blackmon,NO,S063,DB,DB,999,,,,,,,,,,
305,Elijah Molden,LAC,S064,CB,DB,999,27.3,,,,,,,,,
306,Jer'Zhan Newton,WAS,DT031,DL,DL,999,23.7,,,,,,,,,
307,Christian Barmore,NE,DT032,DT,DL,999,26.8,,,,,,,,,
308,Javon Hargrave,GB,DT033,DT,DL,999,33.3,,,,,,,,,
309,Jonathan Allen,CIN,DT034,DT,DL,999,31.3,,,,,,,,,
310,Brandon Dorlus,ATL,DT035,DE,DL,999,25.2,,,,,,,,,
311,Travis Jones,BAL,DT036,DL,DL,999,26.6,,,,,,,,,
312,Alim McNeill,DET,DT037,NT,DL,999,26,,,,,,,,,
313,Derrick Harmon,PIT,DT038,DL,DL,999,24.5,,,,,,,,,
314,Jonah Laulu,LV,DT039,DL,DL,999,26,,,,,,,,,
315,A'Shawn Robinson,CAR,DT040,DT,DL,999,31.2,,,,,,,,,
316,DJ Reader,NYG,DT041,DT,DL,999,31.9,,,,,,,,,
317,B.J. Hill,CIN,DT042,DT,DL,999,31.1,,,,,,,,,
318,Caleb Banks,MIN,DT043,DT,DL,999,23.2,,,,,,,,,
319,Tyree Wilson,NO,DT044,LB,"DL, LB",999,26,,,,,,,,,
320,E.J. Speed,HOU,LB095,LB,LB,999,,,,,,,,,,
321,Troy Andersen,ATL,LB096,LB,LB,999,,,,,,,,,,
322,K.J. Britt,NE,LB097,LB,LB,999,,,,,,,,,,
323,Shaun Dolac,LAR,LB098,LB,LB,999,,,,,,,,,,
324,Kiko Mauigoa,NYJ,LB099,LB,LB,999,,,,,,,,,,
325,Devin White,FA,LB100,LB,LB,241,28.2,,,,,,,,,
326,L'Jarius Sneed,TEN,CB032,CB,DB,999,29.3,,,,,,,,,
327,Tarheeb Still,LAC,CB033,DB,DB,999,23.9,,,,,,,,,
328,Will Johnson,ARI,CB034,DB,DB,999,,,,,,,,,,
329,Zyon McCollum,TB,CB035,DB,DB,999,,,,,,,,,,
330,Charvarius Ward,IND,CB036,CB,DB,999,,,,,,,,,,
331,Isaiah Pola-Mao,LV,S065,DB,DB,480.2,,,,,,,,,,
332,Andre Cisco,NYJ,S066,DB,DB,999,,,,,,,,,,
333,Eric Murray,JAX,S067,DB,DB,999,,,,,,,,,,
334,Marcus Epps,PHI,S068,DB,DB,999,,,,,,,,,,
335,Malik Hooker,DAL,S069,DB,DB,999,,,,,,,,,,
