Name,Status,Position,W7,E7,Avg %,Ows %,PFF %,RW %,Median,Avg,M6,P6,M5,P5,M4,P4,M3,P3,M2,P2
Emanuel Wilson,,RB,4000.0,16.0,,,,,0.0,0.17,,,0.0,0.0,0.0,0.0,,,0.1,0.5
Logan Woodside,,QB,4000.0,16.0,,,,,,,,,,,,,,,,
Alex McGough,,QB,4000.0,16.0,,,,,,,,,,,,,,,,
Anthony McFarland Jr.,,RB,4000.0,16.0,,,,,,,,,,,,,,,,
Alfonzo Graham,IR,RB,4000.0,16.0,,,,,,,,,,,,,,,,
Qadree Ollison,,RB,4000.0,16.0,,,,,,,,,,,,,,,,
Chase Edmonds,IR,RB,4000.0,16.0,,,,,1.2,1.2,,,,,,,,,0.3,1.2
DeeJay Dallas,,RB,4000.0,16.0,0.18,,0.0,0.35,0.15,0.15,,,,,0.0,0.0,,,0.1,0.3
Kyle Pitts,,TE,4000.0,16.0,4.02,3.7,2.8,5.56,6.4,8.0,4.1,14.3,4.8,15.7,1.1,4.1,2.2,8.7,0.8,3.5
Jake Funk,,RB,4000.0,16.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Gary Brightwell,,RB,4000.0,16.0,,,,,1.45,2.12,0.0,0.0,0.0,0.0,0.6,2.9,1.2,5.6,0.0,0.0
Stetson Bennett,NFI-R,QB,4000.0,16.0,,,,,,,,,,,,,,,,
Cordarrelle Patterson,,RB,4000.0,16.0,0.0,,0.0,0.01,0.0,0.42,0.4,1.6,0.4,1.7,0.0,0.0,0.0,0.0,0.0,0.0
Shane Buechele,,QB,4000.0,16.0,,,,,,,,,,,,,,,,
Ty Johnson,,RB,4000.0,16.0,,,,,,,,,,,,,,,,
Keaton Mitchell,,RB,4000.0,16.0,0.0,,0.0,0.01,,,0.0,0.0,,,,,,,,
Kenny McIntosh,IR,RB,4000.0,16.0,,,,,,,,,,,,,,,,
David Blough,,QB,4000.0,16.0,,,,,,,,,,,,,,,,
Hendon Hooker,NFI-R,QB,4000.0,16.0,,,,,,,,,,,,,,,,
Holton Ahlers,,QB,4000.0,16.0,,,,,,,,,,,,,,,,
Patrick Ricard,,RB,4000.0,16.0,,,,,,,0.3,1.3,,,,,,,,
Owen Wright,,RB,4000.0,16.0,,,,,0.0,0.0,,,,,,,0.0,0.0,,
J.K. Dobbins,IR,RB,4000.0,16.0,,,,,,,,,,,,,,,,
Kevin Harris,,RB,4000.0,16.0,,,,,0.0,0.0,,,,,,,,,0.0,0.0
Ameer Abdullah,,RB,4000.0,16.0,0.02,,0.0,0.03,2.5,2.5,,,0.6,2.5,,,,,,
Reggie Gilliam,,RB,4000.0,16.0,0.52,,0.0,1.05,0.0,0.43,,,0.0,0.0,0.0,0.0,,,0.3,1.3
Nyheim Hines,NFI-R,RB,4000.0,16.0,,,,,,,,,,,,,,,,
Sincere McCormick,,RB,4000.0,16.0,,,,,0.0,0.0,,,,,,,,,0.0,0.0
Jakob Johnson,,RB,4000.0,16.0,,,,,0.0,0.0,,,0.0,0.0,,,,,,
