Player,Team,Pos,Injury,Status,Est. Return
Jalen Graham,SF,LB,Coach's Decision,Inactive,9/21/2023
Thomas Graham,CLE,CB,Ankle,IR,2/12/2024
Jakeem Grant,CLE,WR,Kneecap,IR,2/12/2024
Danny Gray,SF,WR,Shoulder - AC Joint,IR,10/8/2023
J.T. Gray,NO,S,Shoulder,Questionable,9/18/2023
Antoine Green,DET,WR,Head,Questionable,9/24/2023
Kenyon Green,HOU,OG,Shoulder - Labrum,IR,2/12/2024
Virgil Green,FA,TE,Ankle,Questionable,9/24/2023
Raven Greene,FA,S,Undisclosed,Questionable,9/24/2023
Ethan Greenidge,ATL,OT,Undisclosed,IR,2/12/2024
Everson Griffen,FA,DE,Personal,Questionable,9/24/2023
Jonas Griffith,DEN,LB,Knee - ACL,IR,2/12/2024
Trevon Grimes,FA,WR,Undisclosed,Questionable,9/24/2023
Ryan Groy,FA,OG,Triceps,Questionable,9/24/2023
Javelin Guidry,NYJ,CB,Knee,IR,2/12/2024
Jalen Guyton,LAC,WR,Knee - ACL,PUP-R,10/16/2023
Jovaughn Gwyn,ATL,OG,Coach's Decision,Inactive,9/24/2023
Jake Haener,NO,QB,Suspension,Reserve-Sus,10/19/2023
Troy Hairston,HOU,FB,Back,IR,2/12/2024
Grant Haley,FA,CB,Knee - ACL,Questionable,9/24/2023
Bryce Hall,NYJ,CB,Coach's Decision,Inactive,9/24/2023
Emanuel Hall,FA,WR,Achilles,Questionable,9/24/2023
Jaren Hall,MIN,QB,Coach's Decision,Inactive,9/24/2023
Kemon Hall,FA,CB,Undisclosed,Questionable,9/24/2023
Maalik Hall,NYJ,LB,Undisclosed,IR,2/12/2024
Terez Hall,NE,LB,Undisclosed,IR,2/12/2024
Arlington Hambright,IND,OG,Coach's Decision,Inactive,9/24/2023
DaeSean Hamilton,FA,WR,Undisclosed,Questionable,9/24/2023
DaVon Hamilton,JAX,DT,Back,IR,10/8/2023
Devery Hamilton,FA,OT,Lower Leg,Questionable,9/24/2023
KJ Hamler,FA,WR,Pectoral,Questionable,9/24/2023
Damar Hamlin,BUF,S,Coach's Decision,Inactive,9/24/2023
Malik Hamm,BAL,LB,Ankle,IR,10/8/2023
Saquan Hampton,FA,S,Achilles,Questionable,9/24/2023
Jake Hanson,FA,C,Shin,Questionable,9/24/2023
Tre Harbison,FA,RB,Concussion,Questionable,9/24/2023
Clark Harris,FA,C,Biceps,Questionable,9/24/2023
Darius Harris,FA,LB,Undisclosed,Questionable,9/24/2023
Dwayne Harris,FA,WR,Triceps,Questionable,9/24/2023
Penny Hart,ATL,WR,Concussion,IR,2/12/2024
Montre Hartage,FA,S,Undisclosed,Questionable,9/24/2023
Kolby Harvell-Peel,FA,S,Hamstring,Questionable,9/24/2023
Hassan Haskins,TEN,RB,Undisclosed,Reserve-CEL,2/12/2024
J.C. Hassenauer,NYG,C,Triceps,IR,2/12/2024
JaMycal Hasty,JAX,RB,Coach's Decision,Inactive,9/24/2023
Broughton Hatcher,FA,C,Undisclosed,Questionable,9/24/2023
Jerald Hawkins,FA,OT,Undisclosed,Questionable,9/24/2023
Tayler Hawkins,FA,S,Hand,Questionable,9/24/2023
Daelin Hayes,FA,LB,Undisclosed,Questionable,9/24/2023
Ryan Hayes,IND,OT,Coach's Decision,Inactive,9/24/2023
Marquis Haynes,CAR,LB,Back,IR,10/8/2023
Joel Heath,FA,DE,Knee - ACL,Questionable,9/24/2023
Charlie Heck,HOU,OT,Foot,PUP-R,10/8/2023
Matt Hembrough,ARI,C,Back,IR,2/12/2024
Xavier Henderson,FA,S,Undisclosed,Questionable,9/24/2023
Daiyan Henley,LAC,LB,Hamstring,Inactive,9/24/2023
Matt Hennessy,ATL,OG,Knee,IR,2/12/2024
K.J. Henry,WAS,DE,Coach's Decision,Inactive,9/24/2023
Ra'Shaun Henry,SEA,WR,Undisclosed,IR,2/12/2024
Chandon Herring,FA,OG,Undisclosed,Questionable,9/24/2023
Neville Hewitt,HOU,LB,Illness,Inactive,9/24/2023
Cameron Heyward,PIT,DE,Groin,IR,11/12/2023
Elijah Higgins,ARI,TE,Coach's Decision,Inactive,9/24/2023
Brandon Hill,FA,S,Undisclosed,Out,10/8/2023
Julian Hill,MIA,TE,Ankle,Inactive,9/24/2023
Trey Hill,CIN,C,Coach's Decision,Inactive,9/25/2023
Dontrell Hilliard,FA,RB,Neck,Questionable,9/24/2023
Nyheim Hines,BUF,RB,Knee,NFI-R,2/12/2024
Chris Hinton,LAC,DT,Coach's Decision,Inactive,9/24/2023
Cooper Hodges,JAX,OT,Knee,IR,10/8/2023
Curtis Hodges,WAS,TE,Coach's Decision,Inactive,9/24/2023
Will Holden,FA,OT,Calf,Questionable,9/24/2023
Cody Hollister,FA,WR,Neck,Questionable,9/24/2023
Jacob Hollister,FA,TE,Undisclosed,Questionable,9/24/2023
Darnay Holmes,NYG,CB,Coach's Decision,Inactive,9/21/2023
Elijah Holyfield,FA,RB,Knee,Questionable,9/24/2023
Amani Hooker,TEN,S,Concussion,Inactive,9/24/2023
Hendon Hooker,DET,QB,Knee - ACL,NFI-R,10/8/2023
Jaycee Horn,CAR,CB,Hamstring,IR,10/15/2023
James Houston,DET,LB,Ankle,Questionable,9/24/2023
Gabriel Houy,FA,OT,Undisclosed,Questionable,9/24/2023
Tytus Howard,HOU,OT,Hand,IR,10/8/2023
Jonathan Hubbard,FA,OT,Undisclosed,Questionable,9/24/2023
Rodney Hudson,FA,C,Knee,Questionable,9/24/2023
Evan Hull,IND,RB,Knee,IR,10/15/2023
Marlon Humphrey,BAL,CB,Foot,Inactive,9/24/2023
Caleb Huntley,FA,RB,Achilles,Questionable,9/24/2023
Tyler Huntley,BAL,QB,Coach's Decision,Inactive,9/24/2023
Jalen Hurd,FA,WR,Undisclosed,Reserve-Ret,2/12/2024
Allen Hurns,FA,WR,Wrist,Questionable,9/24/2023
John Hurst,FA,WR,Ankle,Questionable,9/24/2023
Micah Hyde,BUF,S,Hamstring,Questionable,9/24/2023
Ishmael Hyman,FA,WR,Undisclosed,Questionable,9/24/2023
Mohamed Ibrahim,FA,RB,Undisclosed,Questionable,9/24/2023
Germain Ifedi,BUF,OT,Coach's Decision,Inactive,9/24/2023
Noah Igbinoghene,DAL,CB,Coach's Decision,Inactive,9/18/2023
Siaki Ika,CLE,DT,Foot,Questionable,9/18/2023
George Iloka,FA,S,Knee - ACL,Questionable,9/24/2023
Mark Ingram,FA,RB,Knee - MCL,Questionable,9/24/2023
Matt Ioannidis,FA,DT,Back,Questionable,9/24/2023
Isaiah Irving,FA,LB,Back,Questionable,9/24/2023
Thomas Ives,FA,WR,Undisclosed,Questionable,9/24/2023
DJ Ivey,CIN,CB,Coach's Decision,Inactive,9/25/2023
Myles Jack,PHI,LB,Personal,Reserve-Ret,2/12/2024
Branden Jackson,FA,DE,Spine,Questionable,9/24/2023
DeSean Jackson,FA,WR,Illness,Questionable,9/24/2023
Eddie Jackson,CHI,S,Foot,Questionable,9/24/2023
Justin Jackson,FA,RB,Undisclosed,Reserve-Ret,2/12/2024
Lamar Jackson,BAL,QB,Hand,Questionable,9/24/2023
Warren Jackson,FA,WR,Undisclosed,Questionable,9/24/2023
Brenden Jaimes,LAC,OT,Coach's Decision,Inactive,9/24/2023
Ja'Wuan James,FA,OT,Achilles,Questionable,9/24/2023
Jermar Jefferson,FA,RB,Undisclosed,Questionable,9/24/2023
Jalen Jelks,FA,DE,Undisclosed,Questionable,9/24/2023
Elgton Jenkins,GB,OG,Knee,Questionable,9/24/2023
Jaray Jenkins,FA,WR,Undisclosed,Questionable,9/24/2023
Jordan Jenkins,FA,DE,Knee - ACL,Questionable,9/24/2023
Teven Jenkins,CHI,OG,Leg,IR,10/5/2023
Anfernee Jennings,NE,LB,Coach's Decision,Inactive,9/24/2023
Ryan Jensen,TB,C,Knee,IR,2/12/2024
Anthony Johnson,GB,S,Coach's Decision,Inactive,9/24/2023
Antonio Johnson,JAX,S,Hamstring,Inactive,9/24/2023
Bisi Johnson,FA,WR,Knee - ACL,Questionable,9/24/2023
Buddy Johnson,CHI,LB,Undisclosed,IR,2/12/2024
Darryl Johnson,FA,LB,Undisclosed,Questionable,9/24/2023
Desjuan Johnson,LAR,DE,Coach's Decision,Inactive,9/25/2023
Diontae Johnson,PIT,WR,Hamstring,Out,9/24/2023
Dontae Johnson,FA,CB,Knee - ACL,Questionable,9/24/2023
Jahmir Johnson,FA,OT,Undisclosed,Questionable,9/24/2023
Josh Johnson,FA,RB,Undisclosed,Questionable,9/24/2023
Nazeeh Johnson,KC,S,Knee - ACL,IR,2/12/2024
Roderick Johnson,PHI,OT,Undisclosed,IR,2/12/2024
Willie Johnson,FA,WR,Undisclosed,Questionable,9/24/2023
Cameron Johnston,HOU,P,Calf,IR,10/8/2023
Shaun Jolly,FA,CB,Undisclosed,Questionable,9/24/2023
Kingsley Jonathan,BUF,DE,Coach's Decision,Inactive,9/24/2023
Aaron Jones,GB,RB,Hamstring,Inactive,9/24/2023
Ben Jones,FA,C,Undisclosed,Questionable,9/24/2023
Brett Jones,FA,C,Biceps,Questionable,9/24/2023
Byron Jones,FA,CB,Achilles,Questionable,9/24/2023
Caleb Jones,GB,OT,Coach's Decision,Inactive,9/24/2023
Chandler Jones,LV,DE,Personal,Inactive,9/24/2023
Chris Jones,FA,P,Abdomen,Questionable,9/24/2023
Devin Jones,FA,CB,Undisclosed,Questionable,9/24/2023
Jack Jones,NE,CB,Hamstring,IR,10/8/2023
Jonathan Jones,NE,CB,Ankle,Inactive,9/24/2023
Josh Jones,FA,S,Hamstring,Questionable,9/24/2023
Marcus Jones,NE,CB,Shoulder,Questionable,9/24/2023
Nic Jones,KC,CB,Coach's Decision,Inactive,9/24/2023
