full_name,posteam,position,week,carries,carries_pg,pct_team_carries,rush_yards_pg,rush_yards_pc,rush_tds,exp_rush_yards_pc,ryoe_pc,rush_epa_pp,broken_tackles,broken_tackles_rate,ybc_pc,yac_pc,rz_carries,pct_team_rz_carries,i10_carries,pct_team_i10_carries,i5_carries,pct_team_i5_carries,opps,opps_pg,hvts,hvts_pg,hvt_pct
Tua Tagovailoa,MIA,QB,8,6,6,0.2307692308,8,1.333333333,0,0,1.333333333,-1.425673915,0,0,1.333333333,0,1,0.5,0,0,0,0,6,6,0,0,0
Jaylen Warren,PIT,RB,8,5,5,0.2777777778,19,3.8,0,0,3.8,-0.07027598446,0,0,2.2,1.6,1,0.3333333333,0,0,0,0,10,10,5,5,0.5
Jeffery Wilson,MIA,RB,8,5,5,0.1923076923,23,4.6,0,0,4.6,-0.05020889728,0,0,4,0.6,1,0.5,1,1,1,1,7,7,3,3,0.4285714286
Lamar Jackson,BAL,QB,8,5,5,0.1724137931,17,3.4,0,0,3.4,-0.3913050591,0,0,1.6,1.8,0,0,0,0,0,0,5,5,0,0,0
Latavius Murray,BUF,RB,8,5,5,0.1923076923,7,1.4,0,0,1.4,-0.3946841703,0,0,0.6,0.8,0,0,0,0,0,0,6,6,1,1,0.1666666667
Matt Breida,NYG,RB,8,5,5,0.09615384615,13,2.6,0,0,2.6,-0.4404270999,0,0,1.4,1.2,0,0,0,0,0,0,6,6,1,1,0.1666666667
Tyrod Taylor,NYG,QB,8,5,5,0.09615384615,33,6.6,0,0,6.6,-0.01442015516,0,0,2.8,3.8,1,0.125,0,0,0,0,5,5,0,0,0
Zach Charbonnet,SEA,RB,8,5,5,0.2941176471,53,10.6,0,0,10.6,0.265403515,1,0.2,5.4,5.2,1,0.25,0,0,0,0,7,7,2,2,0.2857142857
Josh Jacobs,LV,RB,9,26,26,0.7647058824,98,3.769230769,2,4.046181514,-0.2769507449,-0.07049701103,1,0.03846153846,3.538461538,0.2307692308,1,1,0,0,0,0,26,26,0,0,0
Aaron Jones,GB,RB,9,20,20,0.5263157895,73,3.65,1,4.872353822,-1.222353822,-0.3604058695,0,0,2.35,1.3,1,0.5,1,1,0,0,26,26,7,7,0.2692307692
D'Onta Foreman,CHI,RB,9,20,20,0.625,83,4.15,0,4.4444578,-0.2944577997,-0.1298752886,3,0.15,3.7,0.45,4,0.8,1,1,0,0,20,20,1,1,0.05
