Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Aidan O'Connell (40235738),Aidan O'Connell,40235738,QB,4000,LV@IND 10/05/2025 01:00PM ET,LV,0
QB,Jeff Driskel (40235739),Jeff Driskel,40235739,QB,4000,LV@IND 10/05/2025 01:00PM ET,LV,0
QB,Cam Miller (40235740),Cam Miller,40235740,QB,4000,LV@IND 10/05/2025 01:00PM ET,LV,0
QB,Riley Leonard (40235741),Riley Leonard,40235741,QB,4000,LV@IND 10/05/2025 01:00PM ET,IND,0
RB,Zamir White (40235932),Zamir White,40235932,RB/FLEX,4000,LV@IND 10/05/2025 01:00PM ET,LV,2.47
RB,Dylan Laube (40235934),Dylan Laube,40235934,RB/FLEX,4000,LV@IND 10/05/2025 01:00PM ET,LV,0.98
RB,Chris Collier (40235936),Chris Collier,40235936,RB/FLEX,4000,LV@IND 10/05/2025 01:00PM ET,LV,0
RB,DJ Giddens (40235938),DJ Giddens,40235938,RB/FLEX,4000,LV@IND 10/05/2025 01:00PM ET,IND,1.1
RB,Tyler Goodson (40235940),Tyler Goodson,40235940,RB/FLEX,4000,LV@IND 10/05/2025 01:00PM ET,IND,0.8
RB,Salvon Ahmed (40235942),Salvon Ahmed,40235942,RB/FLEX,4000,LV@IND 10/05/2025 01:00PM ET,IND,0
RB,Ulysses Bentley IV (40235944),Ulysses Bentley IV,40235944,RB/FLEX,4000,LV@IND 10/05/2025 01:00PM ET,IND,0
RB,Ameer Abdullah (40235946),Ameer Abdullah,40235946,RB/FLEX,4000,LV@IND 10/05/2025 01:00PM ET,IND,0
QB,Russell Wilson (40235707),Russell Wilson,40235707,QB,4000,NYG@NO 10/05/2025 01:00PM ET,NYG,13.21
QB,Jameis Winston (40235735),Jameis Winston,40235735,QB,4000,NYG@NO 10/05/2025 01:00PM ET,NYG,0
QB,Jake Haener (40235736),Jake Haener,40235736,QB,4000,NYG@NO 10/05/2025 01:00PM ET,NO,0
RB,Eric Gray (40235924),Eric Gray,40235924,RB/FLEX,4000,NYG@NO 10/05/2025 01:00PM ET,NYG,0
RB,Dante Miller (40235926),Dante Miller,40235926,RB/FLEX,4000,NYG@NO 10/05/2025 01:00PM ET,NYG,0
RB,Devin Neal (40235928),Devin Neal,40235928,RB/FLEX,4000,NYG@NO 10/05/2025 01:00PM ET,NO,0.9
RB,Velus Jones Jr. (40235930),Velus Jones Jr.,40235930,RB/FLEX,4000,NYG@NO 10/05/2025 01:00PM ET,NO,0
QB,Brady Cook (40235732),Brady Cook,40235732,QB,4000,DAL@NYJ 10/05/2025 01:00PM ET,NYJ,0
QB,Joe Milton III (40235733),Joe Milton III,40235733,QB,4000,DAL@NYJ 10/05/2025 01:00PM ET,DAL,0.64
QB,Will Grier (40235734),Will Grier,40235734,QB,4000,DAL@NYJ 10/05/2025 01:00PM ET,DAL,0
RB,Isaiah Davis (40235908),Isaiah Davis,40235908,RB/FLEX,4000,DAL@NYJ 10/05/2025 01:00PM ET,NYJ,1.13
RB,Kene Nwangwu (40235910),Kene Nwangwu,40235910,RB/FLEX,4000,DAL@NYJ 10/05/2025 01:00PM ET,NYJ,0
RB,Andrew Beck (40235912),Andrew Beck,40235912,RB/FLEX,4000,DAL@NYJ 10/05/2025 01:00PM ET,NYJ,0
RB,Lawrance Toafili (40235914),Lawrance Toafili,40235914,RB/FLEX,4000,DAL@NYJ 10/05/2025 01:00PM ET,NYJ,0
RB,Jaydon Blue (40235916),Jaydon Blue,40235916,RB/FLEX,4000,DAL@NYJ 10/05/2025 01:00PM ET,DAL,0
RB,Phil Mafah (40235918),Phil Mafah,40235918,RB/FLEX,4000,DAL@NYJ 10/05/2025 01:00PM ET,DAL,0
RB,Malik Davis (40235920),Malik Davis,40235920,RB/FLEX,4000,DAL@NYJ 10/05/2025 01:00PM ET,DAL,0
RB,Hunter Luepke (40235922),Hunter Luepke,40235922,RB/FLEX,4000,DAL@NYJ 10/05/2025 01:00PM ET,DAL,0.15
QB,Tanner McKee (40235728),Tanner McKee,40235728,QB,4000,DEN@PHI 10/05/2025 01:00PM ET,PHI,0
QB,Sam Howell (40235729),Sam Howell,40235729,QB,4000,DEN@PHI 10/05/2025 01:00PM ET,PHI,0
QB,Kyle McCord (40235730),Kyle McCord,40235730,QB,4000,DEN@PHI 10/05/2025 01:00PM ET,PHI,0
QB,Sam Ehlinger (40235731),Sam Ehlinger,40235731,QB,4000,DEN@PHI 10/05/2025 01:00PM ET,DEN,0
RB,Will Shipley (40235828),Will Shipley,40235828,RB/FLEX,4000,DEN@PHI 10/05/2025 01:00PM ET,PHI,1.3
RB,Tyler Badie (40235830),Tyler Badie,40235830,RB/FLEX,4000,DEN@PHI 10/05/2025 01:00PM ET,DEN,2.6
RB,Tank Bigsby (40235834),Tank Bigsby,40235834,RB/FLEX,4000,DEN@PHI 10/05/2025 01:00PM ET,PHI,0.3
RB,A.J. Dillon (40235894),A.J. Dillon,40235894,RB/FLEX,4000,DEN@PHI 10/05/2025 01:00PM ET,PHI,1.15
RB,Audric Estime (40235896),Audric Estime,40235896,RB/FLEX,4000,DEN@PHI 10/05/2025 01:00PM ET,PHI,0
RB,Ben VanSumeren (40235898),Ben VanSumeren,40235898,RB/FLEX,4000,DEN@PHI 10/05/2025 01:00PM ET,PHI,0
RB,Jaleel McLaughlin (40235900),Jaleel McLaughlin,40235900,RB/FLEX,4000,DEN@PHI 10/05/2025 01:00PM ET,DEN,0
RB,Michael Burton (40235902),Michael Burton,40235902,RB/FLEX,4000,DEN@PHI 10/05/2025 01:00PM ET,DEN,0
RB,Adam Prentice (40235904),Adam Prentice,40235904,RB/FLEX,4000,DEN@PHI 10/05/2025 01:00PM ET,DEN,0.47
RB,Deuce Vaughn (40235906),Deuce Vaughn,40235906,RB/FLEX,4000,DEN@PHI 10/05/2025 01:00PM ET,DEN,0
WR,Troy Franklin (40236060),Troy Franklin,40236060,WR/FLEX,4000,DEN@PHI 10/05/2025 01:00PM ET,DEN,11.73
QB,Jacoby Brissett (40235710),Jacoby Brissett,40235710,QB,4000,TEN@ARI 10/05/2025 04:05PM ET,ARI,0.2
QB,Kedon Slovis (40235724),Kedon Slovis,40235724,QB,4000,TEN@ARI 10/05/2025 04:05PM ET,ARI,0
QB,Brandon Allen (40235725),Brandon Allen,40235725,QB,4000,TEN@ARI 10/05/2025 04:05PM ET,TEN,0
QB,Will Levis (40235726),Will Levis,40235726,QB,4000,TEN@ARI 10/05/2025 04:05PM ET,TEN,0
QB,Trevor Siemian (40235727),Trevor Siemian,40235727,QB,4000,TEN@ARI 10/05/2025 04:05PM ET,TEN,0
RB,Zonovan Knight (40235880),Zonovan Knight,40235880,RB/FLEX,4000,TEN@ARI 10/05/2025 04:05PM ET,ARI,0
RB,James Conner (40235882),James Conner,40235882,RB/FLEX,4000,TEN@ARI 10/05/2025 04:05PM ET,ARI,11.1
RB,Michael Carter (40235884),Michael Carter,40235884,RB/FLEX,4000,TEN@ARI 10/05/2025 04:05PM ET,ARI,0.1
RB,Julius Chestnut (40235886),Julius Chestnut,40235886,RB/FLEX,4000,TEN@ARI 10/05/2025 04:05PM ET,TEN,0.7
RB,Jordan Mims (40235888),Jordan Mims,40235888,RB/FLEX,4000,TEN@ARI 10/05/2025 04:05PM ET,TEN,0
RB,Kalel Mullings (40235890),Kalel Mullings,40235890,RB/FLEX,4000,TEN@ARI 10/05/2025 04:05PM ET,TEN,0
RB,Raheem Blackshear (40235892),Raheem Blackshear,40235892,RB/FLEX,4000,TEN@ARI 10/05/2025 04:05PM ET,TEN,0
QB,Teddy Bridgewater (40235720),Teddy Bridgewater,40235720,QB,4000,TB@SEA 10/05/2025 04:05PM ET,TB,0
QB,Connor Bazelak (40235721),Connor Bazelak,40235721,QB,4000,TB@SEA 10/05/2025 04:05PM ET,TB,0
QB,Drew Lock (40235722),Drew Lock,40235722,QB,4000,TB@SEA 10/05/2025 04:05PM ET,SEA,0.5
QB,Jalen Milroe (40235723),Jalen Milroe,40235723,QB,4000,TB@SEA 10/05/2025 04:05PM ET,SEA,0.2
RB,Sean Tucker (40235866),Sean Tucker,40235866,RB/FLEX,4000,TB@SEA 10/05/2025 04:05PM ET,TB,0.05
RB,Josh Williams (40235868),Josh Williams,40235868,RB/FLEX,4000,TB@SEA 10/05/2025 04:05PM ET,TB,0
