full_name,posteam,position,week,targets,targets_pg,target_share,receptions,rec_pg,rec_ypg,rec_tds,rz_targets_pg,rz_target_share,rec_drops,rec_drop_rate,rec_ay_pg,ay_share,rec_adot,wopr,racr,yac,yac_pr
Jaxon Smith-Njigba,SEA,WR,7,7,7,0.2692307692,4,4,63,1,0,0,14,2,70,0.3056768559,10,0.590896876,0.9,13,3.25
Marquise Brown,ARI,WR,7,7,7,0.1842105263,3,3,49,0,2,0.2222222222,7,1,71,0.3008474576,10.14285714,0.4684879572,0.6901408451,8,2.666666667
Drake London,ATL,WR,7,7,7,0.2692307692,6,6,54,0,1,0.5,0,0,36,0.1773399015,5.142857143,0.501061008,1.5,23,3.833333333
Kendrick Bourne,NE,WR,7,7,7,0.2258064516,6,6,63,1,1,0.5,0,0,13,0.13,1.857142857,0.4071290323,4.846153846,46,7.666666667
Elijah Moore,CLE,WR,7,7,7,0.1794871795,4,4,59,0,1,0.1666666667,0,0,63,0.2079207921,9,0.3968266057,0.9365079365,21,5.25
Odell Beckham,BAL,WR,7,7,7,0.25,5,5,49,0,1,0.3333333333,0,0,83,0.3360323887,11.85714286,0.5852226721,0.5903614458,7,1.4
Sam LaPorta,DET,TE,7,7,7,0.1186440678,6,6,52,0,1,1,0,0,51,0.1495601173,7.285714286,0.270793777,1.019607843,13,2.166666667
Evan Engram,JAX,TE,7,7,7,0.2333333333,5,5,45,0,0,0,0,0,34,0.1780104712,4.857142857,0.4512739965,1.323529412,35,7
Michael Thomas,NO,WR,7,7,7,0.1228070175,3,3,42,1,1,0.125,0,0,65,0.201863354,9.285714286,0.3132341724,0.6461538462,14,4.666666667
Josh Palmer,LAC,WR,7,7,7,0.2,5,5,133,0,1,0.5,0,0,104,0.3209876543,14.85714286,0.504691358,1.278846154,49,9.8
George Kittle,SF,TE,7,7,7,0.2258064516,5,5,78,0,0,0,0,0,86,0.3583333333,12.28571429,0.5669623656,0.9069767442,23,4.6
Trey McBride,ARI,TE,7,6,6,0.1578947368,3,3,29,0,1,0.1111111111,0,0,26,0.1101694915,4.333333333,0.2981712756,1.115384615,27,9
Rachaad White,TB,RB,7,6,6,0.1333333333,6,6,65,0,0,0,0,0,2,0.006289308176,0.3333333333,0.1910691824,32.5,63,10.5
Cade Otton,TB,TE,7,6,6,0.1333333333,5,5,43,0,1,0.1666666667,0,0,42,0.1320754717,7,0.2791194969,1.023809524,16,3.2
Demario Douglas,NE,WR,7,6,6,0.1935483871,4,4,54,0,0,0,0,0,21,0.21,3.5,0.4179677419,2.571428571,29,7.25
