RK,NAME,TEAM,POS,WK,OPP,RECEIVING_TGTS,RECEIVING_REC,CATCH%,RECEIVING_YDS,RECEIVING_TD,LONG,YDS/TGT,YDS/REC,RUSHING_ATT,RUSHING_YDS,RUSHING_AVG,RUSHING_TD,FUMBLES,FUMBLES_LOST,FPTS
78,Moliki Matavao,NO,TE,2,SF,0,0,,0,0,0,,,0,0,,0,0,0,0.0
79,Tanner Conner,MIA,TE,2,NE,0,0,,0,0,0,,,0,0,,0,0,0,0.0
80,Jack Stoll,NO,TE,2,SF,0,0,,0,0,0,,,0,0,,0,0,0,0.0
81,Colston Loveland,CHI,TE,2,DET,1,0,0.0,0,0,0,0.0,,0,0,,0,0,0,0.0
82,Brayden Willis,SF,TE,2,NO,1,0,0.0,0,0,0,0.0,,0,0,,0,0,0,0.0
83,Chris Manhertz,NYG,TE,2,DAL,0,0,,0,0,0,,,0,0,,0,0,0,0.0
84,Daniel Bellinger,NYG,TE,2,DAL,0,0,,0,0,0,,,0,0,,0,0,0,0.0
85,Durham Smythe,CHI,TE,2,DET,0,0,,0,0,0,,,0,0,,0,0,0,0.0
86,Shane Zylstra,DET,TE,2,CHI,0,0,,0,0,0,,,0,0,,0,0,0,0.0
87,Luke Schoonmaker,DAL,TE,2,NYG,2,0,0.0,0,0,0,0.0,,0,0,,0,0,0,0.0
88,Zaire Mitchell-Paden,BAL,TE,2,CLE,1,0,0.0,0,0,0,0.0,,0,0,,0,0,0,0.0
89,Charlie Kolar,BAL,TE,2,CLE,0,0,,0,0,0,,,0,0,,0,0,0,0.0
90,Blake Whiteheart,CLE,TE,2,BAL,0,0,,0,0,0,,,0,0,,0,0,0,0.0
91,Robert Tonyan,KC,TE,2,PHI,0,0,,0,0,0,,,0,0,,0,0,0,0.0
92,Cameron Latu,PHI,TE,2,KC,0,0,,0,0,0,,,0,0,,0,0,0,0.0
93,Harrison Bryant,HOU,TE,2,TB,1,0,0.0,0,0,0,0.0,,0,0,,0,0,0,0.0
94,Payne Durham,TB,TE,2,HOU,1,0,0.0,0,0,0,0.0,,0,0,,0,0,0,0.0
95,Quintin Morris,JAX,TE,2,CIN,0,0,,0,0,0,,,0,0,,0,0,0,0.0
96,Johnny Mundt,JAX,TE,2,CIN,0,0,,0,0,0,,,0,0,,0,0,0,0.0
97,Tanner Hudson,CIN,TE,2,JAX,0,0,,0,0,0,,,0,0,,0,0,0,0.0
98,Hunter Long,JAX,TE,2,CIN,0,0,,0,0,0,,,0,0,,0,0,0,0.0
99,Ko Kieft,TB,TE,2,HOU,0,0,,0,0,0,,,0,0,,0,0,0,0.0
1,Hunter Henry,NE,TE,3,PIT,11,8,72.7,90,2,18,8.2,11.2,0,0,,0,0,0,29.0
2,Mark Andrews,BAL,TE,3,DET,6,6,100.0,91,2,27,15.2,15.2,0,0,,0,0,0,27.1
3,Jake Ferguson,DAL,TE,3,CHI,14,13,92.9,82,0,12,5.9,6.3,0,0,,0,0,0,21.2
