RK,NAME,TEAM,POS,WK,OPP,RECEIVING_TGTS,RECEIVING_REC,CATCH%,RECEIVING_YDS,RECEIVING_TD,LONG,YDS/TGT,YDS/REC,RUSHING_ATT,RUSHING_YDS,RUSHING_AVG,RUSHING_TD,FUMBLES,FUMBLES_LOST,FPTS
78,Jaylin Lane,WAS,WR,4,ATL,3,2,66.7,18,0,11,6.0,9.0,0,0,,0,2,0,3.8
79,Andrei Iosivas,CIN,WR,4,DEN,1,1,100.0,22,0,22,22.0,22.0,1,5,5.0,0,0,0,3.7
80,Xavier Hutchinson,HOU,WR,4,TEN,3,2,66.7,17,0,9,5.7,8.5,0,0,,0,0,0,3.7
81,Rashod Bateman,BAL,WR,4,KC,2,1,50.0,24,0,24,12.0,24.0,0,0,,0,0,0,3.4
82,Kalif Raymond,DET,WR,4,CLE,3,2,66.7,13,0,7,4.3,6.5,0,0,,0,0,0,3.3
83,Calvin Austin III,PIT,WR,4,MIN,2,2,100.0,13,0,8,6.5,6.5,0,0,,0,0,0,3.3
84,Adam Thielen,MIN,WR,4,PIT,2,2,100.0,11,0,6,5.5,5.5,0,0,,0,0,0,3.1
85,Demarcus Robinson,SF,WR,4,JAX,2,1,50.0,20,0,20,10.0,20.0,0,0,,0,0,0,3.0
86,John Metchie III,PHI,WR,4,TB,2,2,100.0,10,0,7,5.0,5.0,0,0,,0,0,0,3.0
87,Hunter Renfrow,CAR,WR,4,NE,2,2,100.0,10,0,5,5.0,5.0,0,0,,0,0,0,3.0
88,Casey Washington,ATL,WR,4,WAS,3,1,33.3,19,0,19,6.3,19.0,0,0,,0,0,0,2.9
89,Ashton Dulin,IND,WR,4,LAR,1,1,100.0,11,0,11,11.0,11.0,1,7,7.0,0,0,0,2.8
90,Kayshon Boutte,NE,WR,4,CAR,3,1,33.3,18,0,18,6.0,18.0,0,0,,0,0,0,2.8
91,Jake Bobo,SEA,WR,4,ARI,1,1,100.0,17,0,17,17.0,17.0,0,0,,0,0,0,2.7
92,A.J. Brown,PHI,WR,4,TB,9,2,22.2,7,0,9,0.8,3.5,0,0,,0,0,0,2.7
93,Kendrick Bourne,SF,WR,4,JAX,4,1,25.0,17,0,17,4.2,17.0,0,0,,0,0,0,2.7
94,Darnell Mooney,ATL,WR,4,WAS,1,1,100.0,15,0,15,15.0,15.0,0,0,,0,0,0,2.5
95,Tay Martin,WAS,WR,4,ATL,1,1,100.0,14,0,14,14.0,14.0,0,0,,0,0,0,2.4
96,Tylan Wallace,BAL,WR,4,KC,2,1,50.0,14,0,14,7.0,14.0,0,0,,0,0,0,2.4
97,Tez Johnson,TB,WR,4,PHI,1,1,100.0,8,0,8,8.0,8.0,1,5,5.0,0,0,0,2.3
