RK	NAME	TEAM	POS	WK	OPP	TGTS	REC	CATCH%	RECEIVING_YDS	RECEIVING_TD	LONG	YDS/TGT	YDS/REC	RUSHING_ATT	RUSHING_YDS	RUSHING_AVG	RUSHING_TD	FUMBLES	FUMBLES_LOST	FPTS
32	Ja'Tavion Sanders	CAR	TE	5	CHI	5	3	60	13	0	10	2.6	4.3	0	0		0	0	0	4.3
33	Gerald Everett	CHI	TE	5	CAR	2	2	100	22	0	17	11	11	0	0		0	0	0	4.2
34	Brevyn Spann-Ford	DAL	TE	5	PIT	3	2	66.7	20	0	13	6.7	10	0	0		0	0	0	4
35	Luke Farrell	JAX	TE	5	IND	2	2	100	17	0	11	8.5	8.5	0	0		0	0	0	3.7
36	Hunter Long	LAR	TE	5	GB	2	2	100	16	0	9	8	8	0	0		0	0	0	3.6
37	Erick All Jr.	CIN	TE	5	BAL	2	2	100	10	0	5	5	5	0	0		0	0	0	3
38	Zach Ertz	WAS	TE	5	CLE	8	2	25	10	0	7	1.2	5	0	0		0	0	0	3
39	Adam Trautman	DEN	TE	5	LV	1	1	100	19	0	19	19	19	0	0		0	0	0	2.9
40	Cade Stover	HOU	TE	5	BUF	2	2	100	6	0	5	3	3	0	0		0	0	0	2.6
41	David Njoku	CLE	TE	5	WAS	3	1	33.3	14	0	14	4.7	14	0	0		0	0	0	2.4
42	AJ Barner	SEA	TE	5	NYG	1	1	100	13	0	13	13	13	0	0		0	0	0	2.3
43	Austin Hooper	NE	TE	5	MIA	3	1	33.3	9	0	9	3	9	0	0		0	0	0	1.9
44	Luke Schoonmaker	DAL	TE	5	PIT	2	1	50	8	0	8	4	8	0	0		0	0	0	1.8
45	Nate Adkins	DEN	TE	5	LV	1	1	100	8	0	8	8	8	0	0		0	0	0	1.8
46	Pharaoh Brown	SEA	TE	5	NYG	1	1	100	7	0	7	7	7	0	0		0	0	0	1.7
47	Will Mallory	IND	TE	5	JAX	1	1	100	7	0	7	7	7	0	0		0	0	0	1.7
48	Tip Reiman	ARI	TE	5	SF	1	1	100	5	0	5	5	5	0	0		0	0	0	1.5
49	Drew Ogletree	IND	TE	5	JAX	1	1	100	5	0	5	5	5	0	0		0	0	0	1.5
50	Lucas Krull	DEN	TE	5	LV	1	1	100	5	0	5	5	5	0	0		0	0	0	1.5
51	Jody Fortson	KC	TE	5	NO	1	1	100	5	0	5	5	5	0	0		0	0	0	1.5
52	Darnell Washington	PIT	TE	5	DAL	2	1	50	5	0	5	2.5	5	0	0		0	0	0	1.5
53	Josiah Deguara	JAX	TE	5	IND	1	1	100	2	0	2	2	2	0	0		0	0	0	1.2
54	Ben Sims	GB	TE	5	LAR	0	0		0	0	0			0	0		0	0	0	0
